3 Biotech,3 Biotech,,2190-5738,Jul 2011,
The American Journal of Pathology,Am J Pathol,0002-9440,1525-2191,Dec 2011,
American Journal of Pharmaceutical Education,Am J Pharm Educ,0002-9459,1553-6467,Feb 2006,
American Journal of Physiology - Cell Physiology,Am J Physiol Cell Physiol,0363-6143,1522-1563,Jul 2008,
American Journal of Physiology - Endocrinology and Metabolism,Am J Physiol Endocrinol Metab,0193-1849,1522-1555,Jul 2008,
American Journal of Physiology - Gastrointestinal and Liver Physiology,Am J Physiol Gastrointest Liver Physiol,0193-1857,1522-1547,Jul 2008,
American Journal of Physiology - Heart and Circulatory Physiology,Am J Physiol Heart Circ Physiol,0363-6135,1522-1539,Jul 2008,
American Journal of Physiology - Lung Cellular and Molecular Physiology,Am J Physiol Lung Cell Mol Physiol,1040-0605,1522-1504,Jul 2008,
"American Journal of Physiology - Regulatory, Integrative and Comparative Physiology",Am J Physiol Regul Integr Comp Physiol,0363-6119,1522-1490,Jul 2008,
American Journal of Physiology - Renal Physiology,Am J Physiol Renal Physiol,1931-857X,1522-1466,Jul 2008,
American Journal of Respiratory Cell and Molecular Biology,Am J Respir Cell Mol Biol,1044-1549,1535-4989,Jan 2007,
American Journal of Respiratory and Critical Care Medicine,Am J Respir Crit Care Med,1073-449X,1535-4970,Jan 2007,
American Journal of Rhinology & Allergy,Am J Rhinol Allergy,1945-8924,1945-8932,Jan 2012,
American Journal of Stem Cells,Am J Stem Cells,,2160-4150,2012,
American Journal of Translational Research,Am J Transl Res,,1943-8141,2009,
The American Journal of Tropical Medicine and Hygiene,Am J Trop Med Hyg,0002-9637,1476-1645,Jan 2010,
AMB Express,AMB Express,,2191-0855,2011,
Ambio,Ambio,0044-7447,1654-7209,Feb 2010,
AMIA Annual Symposium Proceedings,AMIA Annu Symp Proc,,1942-597X,2003,
AMIA Summits on Translational Science Proceedings,AMIA Jt Summits Transl Sci Proc,,2153-4063,2011,
Anais Brasileiros de Dermatologia,An Bras Dermatol,0365-0596,1806-4841,Nov 2012,
Analytical Chemistry Insights,Anal Chem Insights,,1177-3901,2006,
Anatomy & Cell Biology,Anat Cell Biol,2093-3665,2093-3673,Mar 2010,
Anatomy Research International,Anat Res Int,2090-2743,2090-2751,2011,
Ancient Science of Life,Anc Sci Life,0257-7941,2249-9547,Jul 1981,
Anemia,Anemia,2090-1267,2090-1275,2010,
Anesthesiology and Pain Medicine,Anesth Pain Med,2228-7523,2228-7531,Jan 2012,
Anesthesia Progress,Anesth Prog,0003-3006,,Jan 1966,
Anesthesiology Research and Practice,Anesthesiol Res Pract,1687-6962,1687-6970,2008,
Annals of Advances in Automotive Medicine / Annual Scientific Conference,Ann Adv Automot Med,1943-2461,,2008,
Annals of the American Thoracic Society,Ann Am Thorac Soc,2329-6933,2325-6621,Aug 2005,
Annals of Botany,Ann Bot,0305-7364,1095-8290,Jan 1995,
Annals of Burns and Fire Disasters,Ann Burns Fire Disasters,1592-9558,1592-9566,Mar 2005,
Annals of Cardiothoracic Surgery,Ann Cardiothorac Surg,2225-319X,2304-1021,May 2012,
Annals of Clinical Microbiology and Antimicrobials,Ann Clin Microbiol Antimicrob,,1476-0711,2002,
Annals of Coloproctology,Ann Coloproctol,2287-9714,2287-9722,Feb 2013,
Annals of Dermatology,Ann Dermatol,1013-9087,2005-3894,Feb 2009,
Annals of Family Medicine,Ann Fam Med,1544-1709,1544-1717,May 2003,
Annals of Gastroenterology : Quarterly Publication of the Hellenic Society of Gastroenterology,Ann Gastroenterol,1108-7471,1792-7463,2011,
Annals of General Psychiatry,Ann Gen Psychiatry,,1744-859X,2005,
Annals of Ibadan Postgraduate Medicine,Ann Ib Postgrad Med,1597-1627,,Jun 2007,
Annals of Indian Academy of Neurology,Ann Indian Acad Neurol,0972-2327,1998-3549,Jan 2008,
Annals of Intensive Care,Ann Intensive Care,,2110-5820,2011,
Annals of Laboratory Medicine,Ann Lab Med,2234-3806,2234-3814,Jan 2012,
Annals of Maxillofacial Surgery,Ann Maxillofac Surg,2231-0746,2249-3816,Jan 2011,
Annals of Medical and Health Sciences Research,Ann Med Health Sci Res,2141-9248,2277-9205,Jan 2011,
Annales Nestl&#x000e9;,Ann Nestle Eng,0517-8606,,Jan 2010,May 2012
Annals of Neurosciences,Ann Neurosci,0972-7531,0976-3260,Apr 2010,
Annals of Nutrition & Metabolism,Ann Nutr Metab,0250-6807,1421-9697,May 2008,May 2012
Annals of Occupational and Environmental Medicine,Ann Occup Environ Med,,2052-4374,2013,
Annals of Occupational Hygiene,Ann Occup Hyg,0003-4878,1475-3162,Aug 2008,
Annals of Oncology,Ann Oncol,0923-7534,1569-8041,Aug 2008,
Annals of Pediatric Cardiology,Ann Pediatr Cardiol,0974-2069,0974-5149,Jan 2008,
Annals of Pediatric Endocrinology & Metabolism,Ann Pediatr Endocrinol Metab,2287-1012,2287-1292,Mar 2013,
Annals of The Royal College of Surgeons of England,Ann R Coll Surg Engl,0035-8843,1478-7083,Jul 1947,
Annals of Rehabilitation Medicine,Ann Rehabil Med,2234-0645,2234-0653,Jun 2011,
Annals of Saudi Medicine,Ann Saudi Med,0256-4947,0975-4466,Jan 2009,Dec 2011
Annali di Stomatologia,Ann Stomatol (Roma),1824-0852,1971-1441,Jan 2010,
Annals of Surgical Innovation and Research,Ann Surg Innov Res,,1750-1164,2007,
Annals of Surgical Treatment and Research,Ann Surg Treat Res,2288-6575,2288-6796,Jan 2014,
Annals of Thoracic Medicine,Ann Thorac Med,1817-1737,1998-3557,Jan 2007,
Annals of Vascular Diseases,Ann Vasc Dis,1881-641X,1881-6428,2008,
Antimicrobial Agents and Chemotherapy,Antimicrob Agents Chemother,0066-4804,1098-6596,Jan 1972,
Antimicrobial Resistance and Infection Control,Antimicrob Resist Infect Control,,2047-2994,2012,
Antioxidants & Redox Signaling,Antioxid Redox Signal,1523-0864,1557-7716,Jun 2008,
AoB Plants,AoB Plants,,2041-2851,2009,
The Application of Clinical Genetics,Appl Clin Genet,,1178-704X,2008,
Applied Clinical Informatics,Appl Clin Inform,,1869-0327,2009,
Applied and Environmental Microbiology,Appl Environ Microbiol,0099-2240,1098-5336,Jan 1976,
Applied Physics Letters,Appl Phys Lett,0003-6951,,Apr 2008,
Applications in Plant Sciences,Appl Plant Sci,,2168-0450,Jan 2013,
APSP Journal of Case Reports,APSP J Case Rep,,2218-8185,Jan 2010,
Aquatic Biosystems,Aquat Biosyst,,2046-9063,2012,
The Arabidopsis Book / American Society of Plant Biologists,Arabidopsis Book,,1543-8120,2002,
Archives of Bone and Joint Surgery,Arch Bone Jt Surg,2345-4644,2345-461X,Sep 2013,
Archives of Clinical Neuropsychology,Arch Clin Neuropsychol,0887-6177,1873-5843,Aug 2008,
Archives of Environmental & Occupational Health,Arch Environ Occup Health,1933-8244,,Mar 2009,Dec 2010
Archives of Medical Science : AMS,Arch Med Sci,1734-1922,1896-9151,Mar 2010,
Archives of Plastic Surgery,Arch Plast Surg,2234-6163,2234-6171,Jan 2012,
Archives of Public Health,Arch Public Health,0778-7367,2049-3258,2009,
Archives of Trauma Research,Arch Trauma Res,2251-953X,2251-9599,Mar 2012,
Archaea,Archaea,1472-3646,1472-3654,Mar 2002,
Arquivos Brasileiros de Cardiologia,Arq Bras Cardiol,0066-782X,1678-4170,Jul 2013,
Arthritis,Arthritis,2090-1984,2090-1992,2010,
Arthritis Research & Therapy,Arthritis Res Ther,1478-6354,1478-6362,2003,
Arthroscopy Techniques,Arthrosc Tech,,2212-6287,Sep 2012,
"Artificial DNA, PNA & XNA",Artif DNA PNA XNA,1949-095X,1949-0968,Jul 2010,
ARYA Atherosclerosis,ARYA Atheroscler,1735-3955,2251-6638,Mar 2010,
Asia Pacific Allergy,Asia Pac Allergy,2233-8276,2233-8268,Apr 2011,
Asia Pacific Family Medicine,Asia Pac Fam Med,1444-1683,1447-056X,2008,
Asian Journal of Andrology,Asian J Androl,1008-682X,1745-7262,Jan 2009,
Asian Journal of Neurosurgery,Asian J Neurosurg,1793-5482,2248-9614,Jan 2010,
Asian Journal of Sports Medicine,Asian J Sports Med,2008-000X,2008-7209,Mar 2010,
Asian Journal of Transfusion Science,Asian J Transfus Sci,0973-6247,1998-3565,Jan 2007,
Asian Pacific Journal of Tropical Biomedicine,Asian Pac J Trop Biomed,2221-1691,,Jan 2011,Jul 2014
Asian Pacific Journal of Tropical Disease,Asian Pac J Trop Dis,,2222-1808,Feb 2013,Jul 2014
Asian Spine Journal,Asian Spine J,1976-1902,1976-7846,Jun 2007,
Asian-Australasian Journal of Animal Sciences,Asian-Australas J Anim Sci,1011-2367,1976-5517,Jan 2012,
ASN NEURO,ASN Neuro,,1759-0914,2009,
Assay and Drug Development Technologies,Assay Drug Dev Technol,1540-658X,1557-8127,Jun 2008,
Astrobiology,Astrobiology,1531-1074,1557-8070,Jun 2008,
Audiology & Neurotology,Audiol Neurootol,1420-3030,1421-9700,Jul 2009,May 2012
Australia and New Zealand Health Policy,Aust New Zealand Health Policy,,1743-8462,2004,Dec 2010
The Australasian Medical Journal,Australas Med J,,1836-1935,2011,
Autism Research and Treatment,Autism Res Treat,2090-1925,2090-1933,2010,
Autoimmune Diseases,Autoimmune Dis,2090-0422,2090-0430,2010,
Automated Experimentation,Autom Exp,,1759-4499,2009,Dec 2012
Autophagy,Autophagy,1554-8627,1554-8635,Aug 2010,
Avicenna Journal of Medicine,Avicenna J Med,2231-0770,2249-4464,Jan 2011,
Avicenna Journal of Medical Biotechnology,Avicenna J Med Biotechnol,2008-2835,2008-4625,Apr 2009,
Avicenna Journal of Phytomedicine,Avicenna J Phytomed,2228-7930,2228-7949,Mar 2012,
Ayu,Ayu,0974-8520,0976-9382,Jan 2010,
Bacteriophage,Bacteriophage,2159-7073,2159-7081,Jan 2011,
Balkan Journal of Medical Genetics : BJMG,Balkan J Med Genet,1311-0160,,Jun 2011,
Balkan Medical Journal,Balkan Med J,2146-3123,2146-3131,Jun 2012,
Bariatric Surgical Practice and Patient Care,Bariatr Surg Pract Patient Care,2168-023X,2168-0248,Jun 2008,
Behavioral and Brain Functions : BBF,Behav Brain Funct,,1744-9081,2005,
Behavioral Ecology,Behav Ecol,1045-2249,1465-7279,Aug 2008,
Behavioral Medicine,Behav Med,0896-4289,,Mar 2009,Dec 2010
Behavioural Neurology,Behav Neurol,0953-4180,1875-8584,2014,
Beilstein Journal of Nanotechnology,Beilstein J Nanotechnol,,2190-4286,2010,
Beilstein Journal of Organic Chemistry,Beilstein J Org Chem,,1860-5397,2005,
Big Data,Big Data,2167-6461,2167-647X,Jun 2008,
Bioarchitecture,Bioarchitecture,1949-0992,1949-100X,Jan 2011,
Biochemistry Insights,Biochem Insights,,1178-6264,2012,
Biochemia Medica,Biochem Med (Zagreb),1330-0962,1846-7482,Feb 2012,
Biochemistry Research International,Biochem Res Int,2090-2247,2090-2255,2010,
BioData Mining,BioData Min,,1756-0381,2008,
Biodiversity Data Journal,Biodivers Data J,,1314-2828,2013,
Bioengineered Bugs,Bioeng Bugs,1949-1018,1949-1026,Jan 2010,
Bioengineered,Bioengineered,2165-5979,2165-5987,Jan 2010,
BioImpacts : BI,Bioimpacts,2228-5652,2228-5660,2011,
Bioinformatics and Biology Insights,Bioinform Biol Insights,,1177-9322,2007,
Bioinformatics,Bioinformatics,1367-4803,1367-4811,Aug 2008,
Bioinformation,Bioinformation,,0973-2063,2005,
Bioinorganic Chemistry and Applications,Bioinorg Chem Appl,1565-3633,1687-479X,2003,
Biology Direct,Biol Direct,,1745-6150,2006,
Biology Letters,Biol Lett,1744-9561,1744-957X,Mar 2005,
Biology of Mood & Anxiety Disorders,Biol Mood Anxiety Disord,,2045-5380,2011,
Biology Open,Biol Open,,2046-6390,Jan 2012,
Biological Procedures Online,Biol Proced Online,,1480-9222,May 1998,
Biology of Reproduction,Biol Reprod,0006-3363,1529-7268,Oct 2008,
Biological Research,Biol Res,0716-9760,0717-6287,2014,
Biology of Sex Differences,Biol Sex Differ,,2042-6410,2010,
Biology of Sport,Biol Sport,0860-021X,2083-1862,Dec 2012,
Biologics in Therapy,Biol Ther,2195-5840,2190-9164,Sep 2011,
Biologics : Targets & Therapy,Biologics,1177-5475,1177-5491,Mar 2007,
Biology,Biology (Basel),,2079-7737,Jan 2012,
Biomagnetic Research and Technology,Biomagn Res Technol,,1477-044X,2003,Dec 2008
Biomarkers in Cancer,Biomark Cancer,,1179-299X,2010,
Biomarker Insights,Biomark Insights,,1177-2719,2006,
Biomarker Research,Biomark Res,,2050-7771,2013,
Biomatter,Biomatter,2159-2527,2159-2535,Jan 2012,
BioMedical Engineering OnLine,Biomed Eng Online,,1475-925X,2002,
Biomedical Imaging and Intervention Journal,Biomed Imaging Interv J,,1823-5530,Jul 2005,
Biomedical Informatics Insights,Biomed Inform Insights,,1178-2226,2013,
Biomedical Optics Express,Biomed Opt Express,,2156-7085,Aug 2010,
Biomedical Reports,Biomed Rep,2049-9434,2049-9442,Aug 2012,
BioMed Research International,Biomed Res Int,2314-6133,2314-6141,2013,
Biometrika,Biometrika,0006-3444,1464-3510,Mar 2009,Dec 2012
Biomicrofluidics,Biomicrofluidics,,1932-1058,Mar 2007,
Biomolecules & Therapeutics,Biomol Ther (Seoul),1976-9148,2005-4483,Jan 2012,
Biomolecules,Biomolecules,,2218-273X,Dec 2011,
Biophysical Journal,Biophys J,0006-3495,1542-0086,Sep 1960,
Biopreservation and Biobanking,Biopreserv Biobank,1947-5535,1947-5543,Jun 2008,
Biopsychosocial Medicine,Biopsychosoc Med,,1751-0759,2007,
BioResearch Open Access,Biores Open Access,2164-7844,2164-7860,Jun 2008,
"Bioscience of Microbiota, Food and Health",Biosci Microbiota Food Health,2186-6953,2186-3342,2012,
Bioscience Reports,Biosci Rep,0144-8463,1573-4935,Oct 2012,
"Biosecurity and Bioterrorism : Biodefense Strategy, Practice, and Science",Biosecur Bioterror,1538-7135,1557-850X,Jun 2008,
"Biostatistics (Oxford, England)",Biostatistics,1465-4644,1468-4357,Aug 2008,
Biotechnology for Biofuels,Biotechnol Biofuels,,1754-6834,2008,
Biotechnology Healthcare,Biotechnol Healthc,1554-169X,,Mar 2004,Dec 2012
Biotechnology Law Report,Biotechnol Law Rep,0730-031X,1557-8704,Jun 2008,
Biotechnology Research International,Biotechnol Res Int,2090-3138,2090-3146,2011,
Blood,Blood,0006-4971,1528-0020,May 2005,
Blood Cancer Journal,Blood Cancer J,,2044-5385,Jan 2011,
Blood Purification,Blood Purif,0253-5068,1421-9735,Jan 2008,May 2012
Blood research,Blood Res,2287-979X,2288-0011,Mar 2013,
Blood Transfusion,Blood Transfus,1723-2007,,Jan 2007,
BMC Anesthesiology,BMC Anesthesiol,,1471-2253,2001,
BMC Biochemistry,BMC Biochem,,1471-2091,2000,
BMC Bioinformatics,BMC Bioinformatics,,1471-2105,2000,
BMC Biology,BMC Biol,,1741-7007,2003,
BMC Biophysics,BMC Biophys,,2046-1682,2011,
BMC Biotechnology,BMC Biotechnol,,1472-6750,2001,
BMC Cancer,BMC Cancer,,1471-2407,2001,
BMC Cardiovascular Disorders,BMC Cardiovasc Disord,,1471-2261,2001,
BMC Cell Biology,BMC Cell Biol,,1471-2121,2000,
BMC Chemical Biology,BMC Chem Biol,,1472-6769,2001,
BMC Clinical Pathology,BMC Clin Pathol,,1472-6890,2001,
BMC Complementary and Alternative Medicine,BMC Complement Altern Med,,1472-6882,2001,
BMC Dermatology,BMC Dermatol,,1471-5945,2001,
BMC Developmental Biology,BMC Dev Biol,,1471-213X,2001,
"BMC Ear, Nose, and Throat Disorders",BMC Ear Nose Throat Disord,,1472-6815,2001,
BMC Ecology,BMC Ecol,,1472-6785,2001,
BMC Emergency Medicine,BMC Emerg Med,,1471-227X,2001,
BMC Endocrine Disorders,BMC Endocr Disord,,1472-6823,2001,
BMC Evolutionary Biology,BMC Evol Biol,,1471-2148,2001,
BMC Family Practice,BMC Fam Pract,,1471-2296,2000,
BMC Gastroenterology,BMC Gastroenterol,,1471-230X,2001,
BMC Genetics,BMC Genet,,1471-2156,2000,
BMC Genomics,BMC Genomics,,1471-2164,2000,
BMC Geriatrics,BMC Geriatr,,1471-2318,2001,
BMC Health Services Research,BMC Health Serv Res,,1472-6963,2001,
BMC Hematology,BMC Hematol,,2052-1839,2013,
BMC Immunology,BMC Immunol,,1471-2172,2000,
BMC Infectious Diseases,BMC Infect Dis,,1471-2334,2001,
BMC International Health and Human Rights,BMC Int Health Hum Rights,,1472-698X,2001,
BMC Medicine,BMC Med,,1741-7015,2003,
BMC Medical Education,BMC Med Educ,,1472-6920,2001,
BMC Medical Ethics,BMC Med Ethics,,1472-6939,2000,
BMC Medical Genetics,BMC Med Genet,,1471-2350,2000,
BMC Medical Genomics,BMC Med Genomics,,1755-8794,2008,
BMC Medical Imaging,BMC Med Imaging,,1471-2342,2001,
BMC Medical Informatics and Decision Making,BMC Med Inform Decis Mak,,1472-6947,2001,
BMC Medical Physics,BMC Med Phys,,1756-6649,2008,
BMC Medical Research Methodology,BMC Med Res Methodol,,1471-2288,2001,
BMC Microbiology,BMC Microbiol,,1471-2180,2001,
BMC Molecular Biology,BMC Mol Biol,,1471-2199,2000,
BMC Musculoskeletal Disorders,BMC Musculoskelet Disord,,1471-2474,2000,
BMC Nephrology,BMC Nephrol,,1471-2369,2000,
BMC Neurology,BMC Neurol,,1471-2377,2001,
BMC Neuroscience,BMC Neurosci,,1471-2202,2000,
BMC Nursing,BMC Nurs,,1472-6955,2002,
BMC Ophthalmology,BMC Ophthalmol,,1471-2415,2001,
BMC Oral Health,BMC Oral Health,,1472-6831,2001,
BMC Palliative Care,BMC Palliat Care,,1472-684X,2002,
BMC Pediatrics,BMC Pediatr,,1471-2431,2001,
BMC Pharmacology & Toxicology,BMC Pharmacol Toxicol,,2050-6511,2012,
BMC Physiology,BMC Physiol,,1472-6793,2001,
BMC Plant Biology,BMC Plant Biol,,1471-2229,2001,
BMC Pregnancy and Childbirth,BMC Pregnancy Childbirth,,1471-2393,2001,
BMC Proceedings,BMC Proc,,1753-6561,2007,
BMC Psychiatry,BMC Psychiatry,,1471-244X,2001,
BMC Public Health,BMC Public Health,,1471-2458,2001,
BMC Pulmonary Medicine,BMC Pulm Med,,1471-2466,2001,
BMC Research Notes,BMC Res Notes,,1756-0500,2008,
"BMC Sports Science, Medicine and Rehabilitation",BMC Sports Sci Med Rehabil,,2052-1847,2013,
BMC Structural Biology,BMC Struct Biol,,1472-6807,2001,
BMC Surgery,BMC Surg,,1471-2482,2001,
BMC Systems Biology,BMC Syst Biol,,1752-0509,2007,
BMC Urology,BMC Urol,,1471-2490,2001,
BMC Veterinary Research,BMC Vet Res,,1746-6148,2005,
BMC Women's Health,BMC Womens Health,,1472-6874,2001,
BMJ : British Medical Journal,BMJ,0959-8138,1756-1833,Jul 1988,
BMJ Open,BMJ Open,,2044-6055,2011,
Bone & Joint Research,Bone Joint Res,,2046-3758,Jan 2012,
Bone Marrow Research,Bone Marrow Res,2090-2999,2090-3006,2011,
BoneKEy Reports,Bonekey Rep,,2047-6396,Jan 2012,
BJA: British Journal of Anaesthesia,Br J Anaesth,0007-0912,1471-6771,Aug 2008,
British Journal of Cancer,Br J Cancer,0007-0920,1532-1827,Mar 1947,
British Journal of Clinical Pharmacology,Br J Clin Pharmacol,0306-5251,1365-2125,Feb 1974,
The British Journal of General Practice,Br J Gen Pract,0960-1643,1478-5242,Jan 1990,
British Journal of Pharmacology,Br J Pharmacol,0007-1188,1476-5381,Sep 1968,
The British Journal of Radiology,Br J Radiol,0007-1285,1748-880X,Jan 2010,
British Medical Bulletin,Br Med Bull,0007-1420,1471-8391,Aug 2008,
Brain,Brain,0006-8950,1460-2156,Aug 2008,
Brain and Behavior,Brain Behav,,2162-3279,Sep 2011,
"Brain, Behavior and Evolution",Brain Behav Evol,0006-8977,1421-9743,Aug 2009,May 2012
Brain Connectivity,Brain Connect,2158-0014,2158-0022,Jun 2008,
Brain Sciences,Brain Sci,,2076-3425,Jan 2012,
Brain Tumor Research and Treatment,Brain Tumor Res Treat,2288-2405,2288-2413,Apr 2013,
Brazilian Journal of Medical and Biological Research,Braz J Med Biol Res,0100-879X,1414-431X,Jan 2012,
Brazilian Journal of Microbiology,Braz J Microbiol,1517-8382,1678-4405,Jan 2008,
Breast Cancer : Basic and Clinical Research,Breast Cancer (Auckl),,1178-2234,2008,
Breast Cancer : Targets and Therapy,Breast Cancer (Dove Med Press),,1179-1314,2009,
Breast Cancer Research : BCR,Breast Cancer Res,1465-5411,1465-542X,1999,
Breast Care,Breast Care (Basel),1661-3791,1661-3805,Mar 2010,
Breastfeeding Medicine,Breastfeed Med,1556-8253,1556-8342,Jun 2008,
Breeding Science,Breed Sci,1344-7610,1347-3735,Dec 2011,
Briefings in Bioinformatics,Brief Bioinform,1467-5463,1477-4054,Aug 2008,
Briefings in Functional Genomics and Proteomics,Brief Funct Genomic Proteomic,1473-9550,1477-4062,Aug 2008,Nov 2009
